period,main1,main2,main3,main4,main5,main6,special
115000059,12,14,25,30,32,34,44
115000058,2,8,9,16,20,37,49
115000057,20,26,29,30,31,37,49
115000056,3,11,27,29,37,47,48
115000055,12,13,16,21,28,30,48
115000054,4,20,22,26,27,38,47
115000053,1,16,29,30,35,42,43
115000052,6,12,18,19,32,34,36
115000051,10,18,25,28,39,43,48
115000050,4,15,17,23,28,33,37
115000049,7,22,27,35,43,45,48
115000048,6,7,10,14,25,26,32
115000047,7,14,16,34,37,39,47
115000046,1,6,17,19,20,22,40
115000045,7,10,11,18,22,40,45
115000044,4,8,13,21,23,24,43
115000043,4,10,15,17,21,30,40
115000042,1,2,6,16,18,26,47
115000041,5,8,12,13,25,36,48
115000040,5,11,25,39,40,45,47
